year,state,SuicideMean,PovertyPercentage
2011,Colorado,17.5,13.2
2012,Colorado,19.7,11.9
2013,Colorado,18.6,10.6
2014,Colorado,19.9,12.3
2015,Colorado,19.5,9.9
2016,Colorado,20.5,8.5
2011,Alabama,13.2,15.4
2011,Connecticut,9.8,10.1
2012,Connecticut,9.9,10.3
2013,Connecticut,8.7,11.3
2014,Connecticut,9.8,8.6
2015,Connecticut,9.9,9.1
2016,Connecticut,10.1,9.8
2012,Alabama,14.7,16.2
2011,Delaware,11,13.7
2012,Delaware,13.2,13.5
2013,Alabama,14.4,16.7
2013,Delaware,12.5,14
2014,Delaware,13.2,11
2015,Delaware,12.6,11.1
2016,Delaware,11.5,11.6
2014,Alabama,14.5,17.8
2011,District of Columbia,5.6,19.9
2012,District of Columbia,5.7,18.4
2013,District of Columbia,5.7,21.3
2014,District of Columbia,7.8,19
2015,Alabama,14.9,16.3
2015,District of Columbia,4.9,16.6
2016,District of Columbia,5.2,16.3
2016,Alabama,15.7,16.2
2011,Florida,13.9,14.9
2012,Florida,14.4,15.3
2013,Florida,13.8,14.9
2014,Florida,13.9,16.7
2015,Florida,14.4,16.2
2016,Florida,14,13
2011,Georgia,11.7,18.4
2012,Georgia,11.7,18.1
2013,Georgia,12,16.3
2014,Georgia,12.6,16.8
2015,Georgia,12.7,18.1
2016,Georgia,13.3,15.4
2011,Hawaii,12.8,12.1
2012,Hawaii,13.1,13.8
2013,Hawaii,11.8,11.1
2014,Hawaii,13.8,10.8
2015,Hawaii,13.5,10.9
2016,Hawaii,12.1,9.3
2011,Idaho,18.2,15.7
2012,Idaho,19,14.4
2013,Idaho,19.2,12.9
2014,Idaho,20,12.4
2015,Idaho,22.1,12.3
2016,Idaho,21.4,11.1
2011,Illinois,9.3,14.2
2012,Illinois,9.8,12.6
2013,Illinois,9.9,13.3
2014,Illinois,10.5,13.7
2015,Illinois,10.3,10.9
2016,Illinois,10.7,12.1
2011,Indiana,13.5,15.6
2012,Indiana,14.3,15.2
2013,Indiana,14.3,11.6
2014,Indiana,14.3,14.6
2015,Indiana,14.4,13.5
2016,Indiana,15.4,11.8
2011,Iowa,13.9,10.4
2012,Iowa,12.7,10.3
2013,Iowa,14.4,10.8
2014,Iowa,12.9,10.3
2015,Iowa,13.9,10.4
2016,Iowa,14.6,9.8
2011,Alaska,20,11.7
2011,Kansas,13.8,14.3
2012,Kansas,17.4,14
2013,Kansas,14.7,13.2
2014,Kansas,15.7,12.1
2015,Kansas,16.3,14.2
2016,Kansas,17.9,11.2
2012,Alaska,23,10
